spp;acro;family;Phenology;Leaf_composition;FibrousRootSystem;Leaf_form;Form_living;TotalLength;CAN_H;UndergroundLength;LeavesOpening;RootOpening;ShootDensity_m2;MaximumLeafLength;RootDensity_m2;MaximumRootLength;TotalRootLength_cm_m2;MeanRootLength;PB_root;PF_root;RootBiomass_g_m2;PB_stem;PF_stem;StemBiomass_g_m2;PB_leaves;PF_leaves;LeavesBiomass_g_m2;SRL;RLR;RTD;DLR;RWR;RS;BelowgroundBiomass_g_m2;AbovegroundBiomass_g_m2;AboveBelowBiomass;RootPF:PS;LeavesPF:PS;StemPF:PS;RelativeHumidity;RootsHr;LeavesHr;StemHr
Artemisia;ART;Asteraceae (Compositae);Perenne;Simple;superficial;linear;chamaephyte;17,1;5,166666667;11,93333333;15;14,66666667;207,491064;15;282,94236;15,3;2471,029944;8,711111111;1,4937;2,462033333;96,82287561;1,518;1,890466667;95,46475228;1,475666667;2,1386;102,7269395;23,35666667;14,549;0,000233333;0,006;0,333666667;0,565;96,82287561;198,1916918;2,154757568;1,368;1,195333333;1,136;18,28633333;20,483;15,82733333;11,54066667
Atriplex;ATRIP;Chenopodiaceae;Annual;Simple;superficial;toothed;therophyte;64,83333333;50,33333333;14,5;15;22,33333333;207,491064;25;1791,96828;5,166666667;6319,046041;3,5;2,4702;5,240033333;210,2261735;2,527333333;6,3238;215,5454899;2,307;12,68066667;543,7963532;32,861;10,843;0,000533333;0,016;0,232666667;0,337666667;210,2261735;759,3418431;3,465674947;1,428333333;1,306333333;1,633666667;29,294;29,31266667;23,227;38,627
Cakile;CAK;Cruciferae (Brassicaceae);Annual;Simple;superficial;lanceolate;therophyte;36,75;25;11,75;12,475;18,375;155,618298;25;325,383714;17,75;3706,544917;12,00492424;2,590825;3,557925;168,1809388;2,74325;6,705275;201,7803441;2,7025;24,478075;538,057339;20,40625;5,2755;0,000425;0,0095;0,2185;0,29975;168,1809388;739,837683;4,237926585;1,1685;2,3535;1,709;35,76175;12,1135;41,23575;32,401
Salsola;SALS;Amaranthaceae;Annual;Simple;superficial;acicular;therophyte;36,26666667;23,5;12,76666667;17,36666667;13,03333333;377,2564801;23,5;471,5706001;11,73333333;4036,644337;8,926599327;2,186333333;2,523333333;129,7762291;2,367666667;10,26666667;154,2979003;1,818666667;17,33333333;709,619439;31,13933333;4,590666667;0,0003;0,01;0,134333333;0,166;129,7762291;863,9173393;6,663546103;1,1;1,379;3,857;39,98333333;8,887666667;26,21133333;70,27
Elytrigia;ELYT;Poaceae (Gramineae);Annual;Simple;deep;linear;geophyte;56,03333333;47,06666667;8,966666667;7,333333333;21,5;226,353888;33;547,0218961;22,46666667;4919,4245;9,490064103;2,380733333;3,104233333;169,0109031;2,594333333;7,062;285,6774695;2,312;6,413266667;247,1973086;29,14266667;9,549;0,000433333;0,012333333;0,245666667;0,468333333;169,0109031;532,8747781;3,242370547;1,035666667;1,497;1,388;25,079;3,415333333;32,61666667;27,51933333
Echinophora;ECHI;Apiaceae;Perenne;Simple;superficial;linear;geophyte;14,06666667;8,766666667;5,3;13;14,8;565,8847201;8,433333333;245,216712;23,66666667;3755,588259;15,495;1,608933333;7,674333333;287,129907;1,389;13,16813333;124,2682845;1,753333333;9,6986;178,5743548;19,71333333;13,04766667;0,000733333;0,009333333;0,431;1,165;287,129907;302,8426394;1,787505335;1,751666667;2,935666667;6,099;61,41166667;39,98433333;65,13566667;56,15833333
Euphorbia;EUPH;Euphorbiaceae;Annual;Simple;superficial;lanceolate;chamaephyte;59,33333333;42,33333333;17;14;13;547,0218961;7,833333333;188,62824;24,5;2084,342052;11,29166667;1,7732;5,804066667;180,3285975;1,883366667;13,33846667;446,2472588;1,819333333;15,29123333;632,2441349;11,58966667;1,941333333;0,000433333;0,005333333;0,144333333;0,246;180,3285975;1078,491394;6,008557924;1,793666667;1,372;1,705666667;35,22533333;44,024;26,96466667;40,79766667
Phargmites;PHAR;Poaceae (Gramineae);Perenne;Simple;deep;linear;geophyte;41;28,66666667;12,33333333;12,83333333;10,66666667;132,039768;28,66666667;622,4731921;12,16666667;4432,763641;7,691005291;2,113133333;3,6067;155,9201032;2,517333333;4,223366667;166,7473642;2,073333333;4,262133333;167,52074;26,25;15,27533333;0,0004;0,011;0,329;0,579333333;155,9201032;334,2681042;2,313040248;1,288666667;1,355333333;1,337666667;25,77666667;21,46;23,678;23,78866667
Ammophila;AMM;Poaceae (Gramineae);Perenne;Simple;deep;linear;hemicryptophyte;39,9;31,03333333;8,866666667;8,2;15,63333333;396,1193041;31,03333333;452,7077761;13,93333333;8480,725672;35,28737374;1,629133333;3,318;176,1410505;1,959;3,8863;190,2127172;2,116;4,472166667;182,6109992;48,68866667;21,46033333;0,000433333;0,021333333;0,311;0,563;176,1410505;372,8237164;2,326973563;1,049;1,329333333;1,177333333;15,59933333;4,573666667;23,41466667;14,99866667
Limonium;LIM;Plumbaginaceae;Perenne;Simple;superficial;lanceolate;therophytic ;9,625;1,875;7,75;4,875;12,75;14,147118;3,625;353,6779501;11,1;2225,341662;6,4125;1,110175;1,5033;80,56783702;1,4695;3,900875;192,2027452;1,39175;3,383425;154,7128825;27,02525;7,1705;0,0002;0,00575;0,20375;0,42675;80,56783702;346,9156276;4,484501243;1,10025;1,2825;1,1325;14,0305;7,817;21,46675;11,30325
